article_id,source_id,date_id,title,url
7,5,20251118,Sophos Recognized with Microsoft Verified Small and Medium Business (SMB) Solution Status,https://www.manilatimes.net/2025/11/19/tmt-newswire/globenewswire/sophos-recognized-with-microsoft-verified-small-and-medium-business-smb-solution-status/2226771
3,1,20251118,Bangalore's 'Blue Force' to Combat Water Loss with AI Technology,https://www.devdiscourse.com/article/science-environment/3702227-bangalores-blue-force-to-combat-water-loss-with-ai-technology
0,4,20251118,"Google unveils Gemini's next generation, aiming to turn its search engine into a 'thought partner'",https://apnews.com/article/google-gemini-artificial-intelligence-9d584d1be428bf5d0a98ecd411c6d23e
2,7,20251118,"Google unveils Gemini's next generation, aiming to turn its search engine into a 'thought partner'",https://www.clickondetroit.com/business/2025/11/18/google-unveils-geminis-next-generation-aiming-to-turn-its-search-engine-into-a-thought-partner/
9,6,20251118,"Google Unveils Gemini's Next Generation, Aiming to Turn Its Search Engine Into a 'Thought Partner'",https://www.usnews.com/news/business/articles/2025-11-18/google-unveils-geminis-next-generation-aiming-to-turn-its-search-engine-into-a-thought-partner
4,2,20251118,"Werner Premium Services: Tailored logistics for high-value, high-stakes freight",https://www.freightwaves.com/news/werner-premium-services-tailored-logistics-for-high-value-high-stakes-freight
8,3,20251118,Combat Drones in Greece: Ukrainian Technology That Is ‘Shaking’ Turkey,https://www.pagenews.gr/2025/11/18/english-edition/combat-drones-in-greece-ukrainian-technology-that-is-shaking-turkey/
1,0,20251118,Lumia 2 merges fine jewelry with blood flow-tracking insights,https://www.androidheadlines.com/2025/11/lumia-2-merges-fine-jewelry-with-blood-flow-tracking-insights.html
5,5,20251118,"BofA says AI is boosting bankers' productivity, revenue",https://www.manilatimes.net/2025/11/19/business/foreign-business/bofa-says-ai-is-boosting-bankers-productivity-revenue/2226594
6,5,20251118,Marina advances shipbuilding and repair sector with Japan,https://www.manilatimes.net/2025/11/19/business/maritime/marina-advances-shipbuilding-and-repair-sector-with-japan/2226178
